"Etablissement";"Groupe";"effectifs.MCF";"effectifs.PR";"emplois.MCF";"emplois.PR";"taux.promotion";"durée.cycle.promotion";"taux.renouvellement";"durée.cycle.renouvellement"
"Université Nice - Sophia-Antipolis";"Université";573;369;37;18;0.0314;32;0.0393;25
"Université de technologie de Troyes";"Instituts et écoles extérieurs aux universités";55;31;3;7;0.1273;8;0.0349;29
"Institut d'études politiques d'Aix-en-Provence";"Institut d'étude politique";18;12;1;1;0.0556;18;0.0333;30
"École centrale de Marseille";"Instituts et écoles extérieurs aux universités";38;25;0;1;0.0263;38;0;
"Aix-Marseille Université";"Université";1537;923;80;51;0.0332;30;0.0325;31
"Université de Caen Normandie";"Université";591;286;14;18;0.0305;33;0.016;62
"École nationale supérieure d'ingénieurs de Caen";"Écoles nationales supérieures d'ingénieurs";29;18;2;0;0;;0.0426;23
"Université de La Rochelle";"Université";170;68;4;4;0.0235;43;0.0168;60
"Institut national des sciences appliquées Centre Val de Loire";"Instituts et écoles extérieurs aux universités";42;21;4;0;0;;0.0635;16
"Université de Bourgogne";"Université";573;337;6;9;0.0157;64;0.0066;152
"École nationale supérieure de mécanique et des microtechniques";"Écoles nationales supérieures d'ingénieurs";28;21;3;0;0;;0.0612;16
"Université de Franche-Comté";"Université";518;265;28;11;0.0212;47;0.0358;28
"École nationale d'ingénieurs de Brest";"Écoles nationales supérieures d'ingénieurs";27;8;2;1;0.037;27;0.0571;18
"Université de Bretagne Occidentale";"Université";479;223;21;12;0.0251;40;0.0299;33
"Université de Nîmes";"Université";51;17;7;1;0.0196;51;0.1029;10
"Institut d'études politiques de Toulouse";"Institut d'étude politique";18;11;0;2;0.1111;9;0;
"Institut national des sciences appliquées de Toulouse";"Instituts et écoles extérieurs aux universités";98;67;10;4;0.0408;25;0.0606;17
"Institut national polytechnique de Toulouse";"Institut national polytechnique";158;104;14;3;0.019;53;0.0534;19
"Université Toulouse 1 - Capitole";"Université";176;113;4;5;0.0284;35;0.0138;72
"Université Toulouse - Jean Jaurès";"Université";506;194;28;15;0.0296;34;0.04;25
"Université de Toulouse 3 - Paul Sabatier";"Université";910;539;12;7;0.0077;130;0.0083;120
"Institut d'études politiques de Bordeaux";"Institut d'étude politique";11;17;3;0;0;;0.1071;9
"Université Bordeaux-Montaigne";"Université";277;124;8;4;0.0144;69;0.02;50
"Institut polytechnique de Bordeaux";"Grand établissement";108;72;7;4;0.037;27;0.0389;26
"Université de Bordeaux";"Université";931;604;33;26;0.0279;36;0.0215;47
"Université Montpellier 3 - Paul-Valéry";"Université";293;143;23;20;0.0683;15;0.0528;19
"Université de Montpellier";"Université";815;546;47;19;0.0233;43;0.0345;29
"École des hautes études en santé publique";"Grand établissement";12;4;0;1;0.0833;12;0;
"Institut national des sciences appliquées de Rennes";"Instituts et écoles extérieurs aux universités";90;37;3;1;0.0111;90;0.0236;42
"Université de Rennes 1";"Université";617;373;8;2;0.0032;312;0.0081;123
"Université Rennes 2";"Université";319;122;43;13;0.0408;25;0.0975;10
"Institut d'études politiques de Rennes";"Institut d'étude politique";14;7;1;0;0;;0.0476;21
"Université de Tours";"Université";519;295;27;13;0.025;40;0.0332;30
"Institut d'études politiques de Grenoble";"Institut d'étude politique";28;15;2;1;0.0357;28;0.0465;22
"Grenoble INP";"Grand établissement";174;123;14;2;0.0115;87;0.0471;21
"Université de Grenoble Alpes";"Université";1088;565;57;38;0.0349;29;0.0345;29
"École nationale d'ingénieurs de Saint-Étienne";"Instituts et écoles extérieurs aux universités";17;11;2;0;0;;0.0714;14
"Université Jean Monnet";"Université";311;178;17;12;0.0386;26;0.0348;29
"École centrale de Nantes";"Instituts et écoles extérieurs aux universités";58;37;1;2;0.0345;29;0.0105;95
"Université de Nantes";"Université";759;423;33;19;0.025;40;0.0279;36
"Université d'Orléans";"Université";431;164;22;15;0.0348;29;0.037;27
"Université d'Angers";"Université";361;215;26;12;0.0332;30;0.0451;22
"Université de Reims Champagne-Ardenne";"Université";532;271;30;15;0.0282;35;0.0374;27
"Université de Lorraine";"Grand établissement";1435;769;84;44;0.0307;33;0.0381;26
"Université de Bretagne-Sud";"Université";181;66;12;5;0.0276;36;0.0486;21
"École nationale supérieure de chimie de Lille";"Écoles nationales supérieures d'ingénieurs";22;15;0;1;0.0455;22;0;
"École nationale supérieure des arts et industries textiles";"Instituts et écoles extérieurs aux universités";13;11;2;0;0;;0.0833;12
"École centrale de Lille";"Instituts et écoles extérieurs aux universités";43;29;3;0;0;;0.0417;24
"Université polytechnique des hauts de France";"Université";262;105;21;16;0.0611;16;0.0572;17
"Institut d'études politiques de Lille";"Institut d'étude politique";22;6;3;0;0;;0.1071;9
"Université du Littoral Côte d'Opale";"Université";231;74;14;18;0.0779;13;0.0459;22
"Université Lille Nord de France";"Communauté d'universités et établissements";66;8;8;2;0.0303;33;0.1081;9
"Université de Lille";"Université";1371;761;52;30;0.0219;46;0.0244;41
"Université de technologie de Compiègne";"Instituts et écoles extérieurs aux universités";97;66;15;6;0.0619;16;0.092;11
"Université d'Artois";"Université";236;95;15;9;0.0381;26;0.0453;22
"SIGMA Clermont";"École d'ingénieurs";38;18;5;3;0.0789;13;0.0893;11
"Université Clermont Auvergne";"Université";722;366;33;20;0.0277;36;0.0303;33
"Université de Pau et des Pays de l'Adour";"Université";303;138;8;6;0.0198;51;0.0181;55
"École nationale d'ingénieurs de Tarbes";"Écoles nationales supérieures d'ingénieurs";36;17;1;1;0.0278;36;0.0189;53
"Université de Perpignan - Via Domitia";"Université";199;84;12;6;0.0302;33;0.0424;24
"Institut national des sciences appliquées de Strasbourg";"Instituts et écoles extérieurs aux universités";53;14;3;1;0.0189;53;0.0448;22
"Université de Strasbourg";"Université";887;616;78;44;0.0496;20;0.0519;19
"Université de Haute-Alsace";"Université";235;92;18;10;0.0426;23;0.055;18
"Institut d'études politiques de Lyon";"Institut d'étude politique";27;16;1;3;0.1111;9;0.0233;43
"École centrale de Lyon";"Instituts et écoles extérieurs aux universités";70;33;5;5;0.0714;14;0.0485;21
"Institut national des sciences appliquées de Lyon";"Instituts et écoles extérieurs aux universités";281;131;10;8;0.0285;35;0.0243;41
"Université Claude Bernard - Lyon 1";"Université";860;562;25;10;0.0116;86;0.0176;57
"Université Lumière - Lyon 2";"Université";357;182;39;28;0.0784;13;0.0724;14
"Université Jean Moulin - Lyon 3";"Université";266;136;19;8;0.0301;33;0.0473;21
"École nationale supérieure des sciences de l'information et des bibliothèques";"Grand établissement";5;4;2;2;0.4;2;0.2222;5
"École normale supérieure de Lyon";"École normale supérieure";97;66;10;6;0.0619;16;0.0613;16
"Le Mans Université";"Université";241;105;8;4;0.0166;60;0.0231;43
"Université Savoie Mont Blanc";"Université";267;116;23;7;0.0262;38;0.0601;17
"Université Paris-Dauphine";"Grand établissement";186;100;16;9;0.0484;21;0.0559;18
"Université Paris 1 - Panthéon Sorbonne";"Université";434;288;53;32;0.0737;14;0.0734;14
"Université Panthéon-Assas";"Université";117;135;21;12;0.1026;10;0.0833;12
"Université Sorbonne Nouvelle - Paris 3";"Université";258;138;11;16;0.062;16;0.0278;36
"Université Paris Descartes";"Université";608;547;23;8;0.0132;76;0.0199;50
"Université Paris Diderot";"Université";680;568;56;27;0.0397;25;0.0449;22
"École nationale supérieure d'arts et métiers";"Grand établissement";156;65;17;5;0.0321;31;0.0769;13
"École nationale supérieure de chimie de Paris";"Écoles nationales supérieures d'ingénieurs";27;13;1;0;0;;0.025;40
"Institut d'études politiques de Paris";"Grand établissement";3;56;0;3;1;1;0;
"École normale supérieure de Paris";"École normale supérieure";66;35;8;6;0.0909;11;0.0792;13
"Conservatoire national des arts et métiers";"Grand établissement";240;112;25;6;0.025;40;0.071;14
"Institut national des langues et civilisations orientales";"Grand établissement";147;73;15;10;0.068;15;0.0682;15
"Sorbonne Université";"Université";1393;914;73;56;0.0402;25;0.0316;32
"Institut national des sciences appliquées de Rouen";"Instituts et écoles extérieurs aux universités";65;33;4;2;0.0308;32;0.0408;25
"Université de Rouen";"Université";545;318;25;11;0.0202;50;0.029;34
"Université du Havre";"Université";187;65;10;6;0.0321;31;0.0397;25
"Université Paris-Est Marne-la-Vallée";"Université";199;95;30;12;0.0603;17;0.102;10
"Université de Versailles Saint-Quentin-en-Yvelines";"Université";282;234;15;9;0.0319;31;0.0291;34
"Université de Picardie Jules-Verne";"Université";547;238;16;8;0.0146;68;0.0204;49
"Institut national universitaire Jean-François Champollion";"Autre établissement";63;11;8;3;0.0476;21;0.1081;9
"Université de Toulon";"Université";222;77;19;5;0.0225;44;0.0635;16
"Avignon Université";"Université";169;50;10;6;0.0355;28;0.0457;22
"École nationale supérieure de mécanique et d'aérotechnique de Poitiers";"Écoles nationales supérieures d'ingénieurs";32;18;1;0;0;;0.02;50
"Université de Poitiers";"Université";624;319;41;18;0.0288;35;0.0435;23
"Université de Limoges";"Université";379;220;10;11;0.029;34;0.0167;60
"Université de technologie de Belfort-Montbéliard";"Instituts et écoles extérieurs aux universités";64;22;7;4;0.0625;16;0.0814;12
"Université Paris-Sud";"Université";836;493;54;25;0.0299;33;0.0406;25
"Université d'Évry-Val d'Essonne";"Université";178;77;14;11;0.0618;16;0.0549;18
"École nationale supérieure d'informatique pour l'industrie et l'entreprise";"Écoles nationales supérieures d'ingénieurs";13;6;2;1;0.0769;13;0.1053;9
"CentraleSupélec";"Grand établissement";26;43;2;4;0.1538;7;0.029;34
"Université Paris Nanterre";"Université";547;259;41;26;0.0475;21;0.0509;20
"Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés";"Autre établissement";12;4;3;0;0;;0.1875;5
"Institut supérieur de mécanique de Paris";"Instituts et écoles extérieurs aux universités";21;10;2;1;0.0476;21;0.0645;16
"Université Paris 13 - Paris Nord";"Université";489;233;18;6;0.0123;81;0.0249;40
"Université Paris 8 - Vincennes - Saint-Denis";"Université";445;206;22;7;0.0157;64;0.0338;30
"École normale supérieure Paris-Saclay";"École normale supérieure";60;53;7;2;0.0333;30;0.0619;16
"Université Paris-Est Créteil Val-de-Marne";"Université";524;303;27;20;0.0382;26;0.0326;31
"École nationale supérieure de l'électronique et de ses applications de Cergy";"Écoles habilitées à délivrer un diplôme d'ingénieur";24;8;1;0;0;;0.0312;32
"Université de Cergy-Pontoise";"Université";303;136;33;22;0.0726;14;0.0752;13
"Université de Corse Pasquale Paoli";"Université";121;40;5;0;0;;0.0311;32
"Université des Antilles";"Université";197;84;18;12;0.0609;16;0.0641;16
"Université de Guyane";"Université";53;6;9;2;0.0377;27;0.1525;7
"Université de La Réunion";"Université";230;107;8;2;0.0087;115;0.0237;42
"Centre Universitaire de Mayotte";"Autre établissement";6;0;5;0;0;;0.8333;1
"Université de la Polynésie Française";"Université";50;12;4;3;0.06;17;0.0645;16
