"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"Autre établissement";"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";2;2;63;11;0,027027027027027;0,0317460317460317
"2018";"Autre établissement";"0922605G";"INS FREJHEA";3;0;12;4;0,1875;0
"2018";"Communauté d'universités et établissements";"0596870X";"COMUE LILLE NORD DE FRANCE";3;1;66;8;0,0405405405405405;0,0151515151515152
"2018";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";3;2;38;18;0,0535714285714286;0,0526315789473684
"2018";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";5;3;97;66;0,0306748466257669;0,0309278350515464
"2018";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";6;3;66;35;0,0594059405940594;0,0454545454545455
"2018";"École normale supérieure";"0940607Z";"ECOLE NORMALE SUPERIEURE DE CACHAN";2;2;60;53;0,0176991150442478;0,0333333333333333
"2018";"Écoles habilitées à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";1;0;24;8;0,03125;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0141720U";"ENSI CAEN";1;0;29;18;0,0212765957446809;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0250082D";"ENS MECANIQUE & MICROTECH. BESANCON";2;0;28;21;0,0408163265306122;0
"2018";"Écoles nationales supérieures d'ingénieurs";"0290119X";"ENI DE BREST";1;1;27;8;0,0285714285714286;0,037037037037037
"2018";"Écoles nationales supérieures d'ingénieurs";"0912266U";"ENS IIE";0;1;13;6;0;0,0769230769230769
"2018";"Grand établissement";"0333232J";"INSTITUT POLYTECHNIQUE DE BORDEAUX";4;2;108;72;0,0222222222222222;0,0185185185185185
"2018";"Grand établissement";"0381912X";"INP DE GRENOBLE";8;1;174;123;0,0269360269360269;0,00574712643678161
"2018";"Grand établissement";"0542493S";"UNIVERSITE DE LORRAINE";44;21;1435;769;0,0199637023593466;0,0146341463414634
"2018";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";1;1;5;4;0,111111111111111;0,2
"2018";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";7;4;186;100;0,0244755244755245;0,021505376344086
"2018";"Grand établissement";"0753237L";"ENSAM";9;2;156;65;0,0407239819004525;0,0128205128205128
"2018";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;1;3;56;0;0,333333333333333
"2018";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";12;4;240;112;0,0340909090909091;0,0166666666666667
"2018";"Grand établissement";"0753488J";"INALCO PARIS";6;7;147;73;0,0272727272727273;0,0476190476190476
"2018";"Institut d'étude politique";"0130221V";"I.E.P D'AIX-EN-PROVENCE";1;0;18;12;0,0333333333333333;0
"2018";"Institut d'étude politique";"0330192E";"I.E.P DE BORDEAUX";2;0;11;17;0,0714285714285714;0
"2018";"Institut d'étude politique";"0352317D";"I.E.P DE RENNES";1;0;14;7;0,0476190476190476;0
"2018";"Institut d'étude politique";"0380134P";"IEP DE GRENOBLE";0;1;28;15;0;0,0357142857142857
"2018";"Institut d'étude politique";"0595876S";"I.E.P DE LILLE";2;0;22;6;0,0714285714285714;0
"2018";"Institut d'étude politique";"0690173N";"I.E.P DE LYON ";1;0;27;16;0,0232558139534884;0
"2018";"Institut national polytechnique";"0311381H";"INP DE TOULOUSE";8;2;158;104;0,0305343511450382;0,0126582278481013
"2018";"Instituts et écoles extérieurs aux universités";"0101060Y";"UNIVERSITE DE TECHNOLOGIE DE TROYES";1;5;55;31;0,0116279069767442;0,0909090909090909
"2018";"Instituts et écoles extérieurs aux universités";"0133774G";"ECOLE CENTRALE DE MARSEILLE";0;1;38;25;0;0,0263157894736842
"2018";"Instituts et écoles extérieurs aux universités";"0180974L";"INSA CENTRE VAL DE LOIRE";3;0;42;21;0,0476190476190476;0
"2018";"Instituts et écoles extérieurs aux universités";"0310152X";"INSA DE TOULOUSE";4;2;98;67;0,0242424242424242;0,0204081632653061
"2018";"Instituts et écoles extérieurs aux universités";"0350097R";"INSA DE RENNES";2;1;90;37;0,015748031496063;0,0111111111111111
"2018";"Instituts et écoles extérieurs aux universités";"0420093Y";"ENI DE SAINT-ETIENNE";2;0;17;11;0,0714285714285714;0
"2018";"Instituts et écoles extérieurs aux universités";"0590338X";"ENSAIT DE ROUBAIX";2;0;13;11;0,0833333333333333;0
"2018";"Instituts et écoles extérieurs aux universités";"0601223D";"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE";3;3;97;66;0,0184049079754601;0,0309278350515464
"2018";"Instituts et écoles extérieurs aux universités";"0670190T";"INSA DE STRASBOURG";2;0;53;14;0,0298507462686567;0
"2018";"Instituts et écoles extérieurs aux universités";"0690187D";"ECOLE CENTRALE DE LYON";2;2;70;33;0,0194174757281553;0,0285714285714286
"2018";"Instituts et écoles extérieurs aux universités";"0690192J";"INSA DE LYON";6;3;281;131;0,0145631067961165;0,0106761565836299
"2018";"Instituts et écoles extérieurs aux universités";"0760165S";"INSA DE ROUEN";2;1;65;33;0,0204081632653061;0,0153846153846154
"2018";"Instituts et écoles extérieurs aux universités";"0900424X";"BELFORT-MONTBEL (UNIV TECHNO)";4;2;64;22;0,0465116279069767;0,03125
"2018";"Instituts et écoles extérieurs aux universités";"0930603A";"INST. SUP. MECANIQUE PARIS";1;1;21;10;0,032258064516129;0,0476190476190476
"2018";"Université";"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";14;10;573;369;0,0148619957537155;0,0174520069808028
"2018";"Université";"0134009M";"UNIVERSITE AIX-MARSEILLE";44;25;1537;923;0,0178861788617886;0,0162654521795706
"2018";"Université";"0141408E";"UNIVERSITE DE CAEN";8;11;591;286;0,00912200684150513;0,0186125211505922
"2018";"Université";"0171463Y";"UNIVERSITE DE LA ROCHELLE";1;2;170;68;0,00420168067226891;0,0117647058823529
"2018";"Université";"0211237F";"UNIVERSITE DE DIJON";3;3;573;337;0,0032967032967033;0,00523560209424084
"2018";"Université";"0251215K";"UNIVERSITE DE BESANCON";10;5;518;265;0,0127713920817369;0,00965250965250965
"2018";"Université";"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";16;10;479;223;0,0227920227920228;0,0208768267223382
"2018";"Université";"0301687W";"UNIVERSITE DE NIMES";3;1;51;17;0,0441176470588235;0,0196078431372549
"2018";"Université";"0311383K";"UNIVERSITE TOULOUSE 2";10;5;506;194;0,0142857142857143;0,00988142292490119
"2018";"Université";"0311384L";"UNIVERSITE TOULOUSE 3";1;1;910;539;0,000690131124913734;0,0010989010989011
"2018";"Université";"0331766R";"UNIVERSITE BORDEAUX MONTAIGNE";7;3;277;124;0,0174563591022444;0,0108303249097473
"2018";"Université";"0333298F";"UNIVERSITE DE BORDEAUX";24;17;931;604;0,0156351791530945;0,0182599355531686
"2018";"Université";"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";13;7;293;143;0,0298165137614679;0,0238907849829352
"2018";"Université";"0342321N";"UNIVERSITE DE MONTPELLIER";23;12;815;546;0,0168993387215283;0,0147239263803681
"2018";"Université";"0350936C";"UNIVERSITE RENNES 1";6;1;617;373;0,00606060606060606;0,00162074554294976
"2018";"Université";"0350937D";"UNIVERSITE RENNES 2";22;5;319;122;0,0498866213151927;0,0156739811912226
"2018";"Université";"0370800U";"UNIVERSITE DE TOURS";15;7;519;295;0,0184275184275184;0,0134874759152216
"2018";"Université";"0383493R";"UNIVERSITE GRENOBLE ALPES";28;20;1088;565;0,0169388989715668;0,0183823529411765
"2018";"Université";"0421095M";"UNIVERSITE DE SAINT-ETIENNE";8;4;311;178;0,016359918200409;0,0128617363344051
"2018";"Université";"0440984F";"UNIVERSITE DE NANTES";19;12;759;423;0,0160744500846024;0,0158102766798419
"2018";"Université";"0450855K";"UNIVERSITE D'ORLEANS";11;6;431;164;0,0184873949579832;0,0139211136890951
"2018";"Université";"0490970N";"UNIVERSITE D'ANGERS";11;9;361;215;0,0190972222222222;0,0249307479224377
"2018";"Université";"0511296G";"UNIVERSITE DE REIMS";14;6;532;271;0,0174346201743462;0,0112781954887218
"2018";"Université";"0561718N";"UNIVERSITE DE BRETAGNE SUD (LORIENT)";7;5;181;66;0,0283400809716599;0,0276243093922652
"2018";"Université";"0593279U";"UNIVERSITE DE VALENCIENNES";9;7;262;105;0,0245231607629428;0,0267175572519084
"2018";"Université";"0595964M";"UNIVERSITE DU LITTORAL";11;7;231;74;0,0360655737704918;0,0303030303030303
"2018";"Université";"0597065J";"UNIVERSITE DE LILLE";44;30;1371;761;0,0206378986866792;0,0218818380743982
"2018";"Université";"0623957P";"UNIVERSITE D'ARTOIS";8;4;236;95;0,0241691842900302;0,0169491525423729
"2018";"Université";"0632035V";"UNIVERSITE CLERMONT AUVERGNE";16;8;722;366;0,0147058823529412;0,0110803324099723
"2018";"Université";"0640251A";"UNIVERSITE DE PAU";4;4;303;138;0,0090702947845805;0,0132013201320132
"2018";"Université";"0660437S";"UNIVERSITE DE PERPIGNAN (VIA DOMITIA)";6;4;199;84;0,0212014134275618;0,0201005025125628
"2018";"Université";"0673021V";"UNIVERSITE DE STRASBOURG";42;22;887;616;0,0279441117764471;0,0248027057497181
"2018";"Université";"0681166Y";"UNIVERSITE DE MULHOUSE";10;5;235;92;0,0305810397553517;0,0212765957446809
"2018";"Université";"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";13;9;860;562;0,00914205344585091;0,0104651162790698
"2018";"Université";"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";18;12;357;182;0,0333951762523191;0,0336134453781513
"2018";"Université";"0692437Z";"UNIVERSITE LYON 3 (JEAN MOULIN)";8;2;266;136;0,0199004975124378;0,0075187969924812
"2018";"Université";"0720916E";"UNIVERSITE DU MANS";5;4;241;105;0,0144508670520231;0,016597510373444
"2018";"Université";"0730858L";"UNIVERSITE DE SAVOIE MONT-BLANC";13;2;267;116;0,0339425587467363;0,00749063670411985
"2018";"Université";"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";28;18;434;288;0,038781163434903;0,0414746543778802
"2018";"Université";"0751718K";"UNIVERSITE PARIS 2 (PANTHEON-ASSAS)";12;5;117;135;0,0476190476190476;0,0427350427350427
"2018";"Université";"0751719L";"UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)";5;8;258;138;0,0126262626262626;0,0310077519379845
"2018";"Université";"0751723R";"UNIVERSITE PARIS 7 (DENIS DIDEROT)";27;16;680;568;0,0216346153846154;0,0235294117647059
"2018";"Université";"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";43;31;1393;914;0,0186389250108366;0,022254127781766
"2018";"Université";"0761904G";"UNIVERSITE DE ROUEN";16;4;545;318;0,018539976825029;0,0073394495412844
"2018";"Université";"0762762P";"UNIVERSITE DU HAVRE";4;3;187;65;0,0158730158730159;0,0160427807486631
"2018";"Université";"0772502B";"UNIVERSITE PARIS EST MARNE LA VALLEE";14;7;199;95;0,0476190476190476;0,0351758793969849
"2018";"Université";"0781944P";"UNIVERSITE VERSAILLES/SAINT-QUENTIN";8;3;282;234;0,0155038759689922;0,0106382978723404
"2018";"Université";"0830766G";"UNIVERSITE DE TOULON (VAR)";9;4;222;77;0,0301003344481605;0,018018018018018
"2018";"Université";"0840685N";"UNIVERSITE D'AVIGNON";5;2;169;50;0,0228310502283105;0,0118343195266272
"2018";"Université";"0860856N";"UNIVERSITE DE POITIERS";20;7;624;319;0,0212089077412513;0,0112179487179487
"2018";"Université";"0870669E";"UNIVERSITE DE LIMOGES";4;2;379;220;0,00667779632721202;0,00527704485488127
"2018";"Université";"0911101C";"UNIVERSITE PARIS 11";30;12;836;493;0,0225733634311512;0,0143540669856459
"2018";"Université";"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";11;4;178;77;0,0431372549019608;0,0224719101123595
"2018";"Université";"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";19;13;547;259;0,0235732009925558;0,0237659963436929
"2018";"Université";"0931238R";"UNIVERSITE PARIS 13";5;0;489;233;0,00692520775623269;0
"2018";"Université";"0931827F";"UNIVERSITE PARIS 8";18;7;445;206;0,0276497695852535;0,0157303370786517
"2018";"Université";"0941111X";"UNIVERSITE PARIS EST CRETEIL (PARIS 12";11;9;524;303;0,0133010882708585;0,017175572519084
"2018";"Université";"0951793H";"UNIVERSITE DE CERGY-PONTOISE";16;12;303;136;0,0364464692482916;0,0396039603960396
"2018";"Université";"7200664J";"UNIVERSITE DE CORTE";4;0;121;40;0,0248447204968944;0
"2018";"Université";"9710585J";"UNIVERSITE DES ANTILLES";12;5;197;84;0,0427046263345196;0,0253807106598985
"2018";"Université";"9730429D";"UNIVERSITE DE LA GUYANE";4;0;53;6;0,0677966101694915;0
"2018";"Université";"9840349G";"UNIVERSITE DE POLYNESIE FRANCAISE";3;1;50;12;0,0483870967741935;0,02
"2019";"Autre établissement";"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";6;1;63;11;0,0810810810810811;0,0158730158730159
"2019";"Autre établissement";"9760358K";"CUFR  DE MAYOTTE";5;0;6;0;0,833333333333333;0
"2019";"Communauté d'universités et établissements";"0596870X";"COMUE LILLE NORD DE FRANCE";5;1;66;8;0,0675675675675676;0,0151515151515152
"2019";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";2;1;38;18;0,0357142857142857;0,0263157894736842
"2019";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";5;3;97;66;0,0306748466257669;0,0309278350515464
"2019";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";2;3;66;35;0,0198019801980198;0,0454545454545455
"2019";"École normale supérieure";"0940607Z";"ENS DE CACHAN (PARIS-SACLAY)";5;0;60;53;0,0442477876106195;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0141720U";"ENSI CAEN";1;0;29;18;0,0212765957446809;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0250082D";"ENS MECANIQUE & MICROTECH. BESANCON";1;0;28;21;0,0204081632653061;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0290119X";"ENI DE BREST";1;0;27;8;0,0285714285714286;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0590311T";"ENS DE CHIMIE DE LILLE";0;1;22;15;0;0,0454545454545455
"2019";"Écoles nationales supérieures d'ingénieurs";"0650048Z";"ENI DE TARBES";1;1;36;17;0,0188679245283019;0,0277777777777778
"2019";"Écoles nationales supérieures d'ingénieurs";"0753375L";"ENS DE CHIMIE DE PARIS (PARIS-TECH)";1;0;27;13;0,025;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0860073M";"ENS. MECANIQUE & AEROTECH. DE POITIERS";1;0;32;18;0,02;0
"2019";"Écoles nationales supérieures d'ingénieurs";"0912266U";"ENS IIE";2;0;13;6;0,105263157894737;0
"2019";"Grand établissement";"0333232J";"INP DE BORDEAUX";3;2;108;72;0,0166666666666667;0,0185185185185185
"2019";"Grand établissement";"0350095N";"ECOLE HAUTES ETUDES SANTE PUB";0;1;12;4;0;0,0833333333333333
"2019";"Grand établissement";"0381912X";"INP DE GRENOBLE";6;1;174;123;0,0202020202020202;0,00574712643678161
"2019";"Grand établissement";"0542493S";"UNIVERSITE DE LORRAINE";40;23;1435;769;0,0181488203266788;0,0160278745644599
"2019";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";1;1;5;4;0,111111111111111;0,2
"2019";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";9;5;186;100;0,0314685314685315;0,0268817204301075
"2019";"Grand établissement";"0753237L";"ENSAM";8;3;156;65;0,0361990950226244;0,0192307692307692
"2019";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;2;3;56;0;0,666666666666667
"2019";"Grand établissement";"0753471R";"CONSERVATOIRE NAT. DES ARTS ET METIERS";13;2;240;112;0,0369318181818182;0,00833333333333333
"2019";"Grand établissement";"0753488J";"INALCO PARIS";9;3;147;73;0,0409090909090909;0,0204081632653061
"2019";"Grand établissement";"0912341A";"CENTRALESUPELEC";2;4;26;43;0,0289855072463768;0,153846153846154
"2019";"Institut d'étude politique";"0130221V";"I.E.P D'AIX-EN-PROVENCE";0;1;18;12;0;0,0555555555555556
"2019";"Institut d'étude politique";"0310133B";"I.E.P DE TOULOUSE";0;2;18;11;0;0,111111111111111
"2019";"Institut d'étude politique";"0330192E";"I.E.P DE BORDEAUX";1;0;11;17;0,0357142857142857;0
"2019";"Institut d'étude politique";"0380134P";"IEP DE GRENOBLE";2;0;28;15;0,0465116279069767;0
"2019";"Institut d'étude politique";"0595876S";"I.E.P DE LILLE";1;0;22;6;0,0357142857142857;0
"2019";"Institut d'étude politique";"0690173N";"I.E.P DE LYON";0;3;27;16;0;0,111111111111111
"2019";"Institut national polytechnique";"0311381H";"INP DE TOULOUSE";6;1;158;104;0,0229007633587786;0,00632911392405063
"2019";"Instituts et écoles extérieurs aux universités";"0101060Y";"UNIVERSITE DE TECHNOLOGIE DE TROYES";2;2;55;31;0,0232558139534884;0,0363636363636364
"2019";"Instituts et écoles extérieurs aux universités";"0180974L";"INSA CENTRE VAL DE LOIRE";1;0;42;21;0,0158730158730159;0
"2019";"Instituts et écoles extérieurs aux universités";"0310152X";"INSA DE TOULOUSE";6;2;98;67;0,0363636363636364;0,0204081632653061
"2019";"Instituts et écoles extérieurs aux universités";"0350097R";"INSA DE RENNES";1;0;90;37;0,0078740157480315;0
"2019";"Instituts et écoles extérieurs aux universités";"0440100V";"ECOLE CENTRALE DE NANTES";1;2;58;37;0,0105263157894737;0,0344827586206897
"2019";"Instituts et écoles extérieurs aux universités";"0590349J";"ECOLE CENTRALE DE LILLE";3;0;43;29;0,0416666666666667;0
"2019";"Instituts et écoles extérieurs aux universités";"0601223D";"UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE";12;3;97;66;0,0736196319018405;0,0309278350515464
"2019";"Instituts et écoles extérieurs aux universités";"0670190T";"INSA DE STRASBOURG";1;1;53;14;0,0149253731343284;0,0188679245283019
"2019";"Instituts et écoles extérieurs aux universités";"0690187D";"ECOLE CENTRALE DE LYON";3;3;70;33;0,029126213592233;0,0428571428571429
"2019";"Instituts et écoles extérieurs aux universités";"0690192J";"INSA DE LYON";4;5;281;131;0,00970873786407767;0,0177935943060498
"2019";"Instituts et écoles extérieurs aux universités";"0760165S";"INSA DE ROUEN";2;1;65;33;0,0204081632653061;0,0153846153846154
"2019";"Instituts et écoles extérieurs aux universités";"0900424X";"BELFORT-MONTBEL (UNIV TECHNO)";3;2;64;22;0,0348837209302326;0,03125
"2019";"Instituts et écoles extérieurs aux universités";"0930603A";"INST. SUP. MECANIQUE PARIS";1;0;21;10;0,032258064516129;0
"2019";"Université";"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";23;8;573;369;0,024416135881104;0,0139616055846422
"2019";"Université";"0134009M";"UNIVERSITE AIX-MARSEILLE";36;26;1537;923;0,0146341463414634;0,0169160702667534
"2019";"Université";"0141408E";"UNIVERSITE DE CAEN";6;7;591;286;0,00684150513112885;0,011844331641286
"2019";"Université";"0171463Y";"UNIVERSITE DE LA ROCHELLE";3;2;170;68;0,0126050420168067;0,0117647058823529
